,POSIXtime,yr,mon,day,hr,COS.60,CO2.60,CO.60,H2O.60,COS.7,CO2.7,CO.7,H2O.7
52,1407032980,2014,8,3,3,471.6219678,430.414059,155.6191495,1.70049014,471.0763301,452.9574464,152.6378466,1.738323703
53,1407036580,2014,8,3,4,460.4895654,446.5000964,153.6628929,1.66982014,458.6792763,463.076379,151.160649,1.736183734
54,1407040180,2014,8,3,5,459.8513995,442.8473444,148.6682973,1.762593184,447.2931424,454.3463571,148.7568398,1.846978211
55,1407043779,2014,8,3,6,486.4663587,420.710608,133.8736957,1.835579972,480.8858884,421.0402767,137.2735492,1.852751182
56,1407047379,2014,8,3,7,502.1159858,398.0135607,134.8053586,1.839933757,503.4529354,394.4575998,138.1614824,1.848890262
57,1407050979,2014,8,3,8,499.2192817,394.257936,140.5502563,1.83993176,489.4729171,392.7083139,144.0237322,1.677328933
58,1407054579,2014,8,3,9,492.1124113,388.7669426,127.5634479,1.839729986,489.2642723,387.1088249,119.6825024,1.533954833
59,1407058179,2014,8,3,10,479.5766788,386.9971121,114.0914689,1.443778436,478.8109982,386.3643379,114.1972195,1.457145167
60,1407061780,2014,8,3,11,486.157736,389.9313709,119.2544582,1.518908296,481.0975769,389.4378981,119.1218334,1.54801681
61,1407065380,2014,8,3,12,503.1018442,389.9217531,118.9972754,1.340665712,496.5888075,388.2277,119.0726067,1.343505858
62,1407068980,2014,8,3,13,481.5887219,387.9578824,118.1266076,1.233917067,476.8164173,387.2907781,118.7549234,1.286042814
63,1407072579,2014,8,3,14,473.128394,388.0567228,117.7878486,1.266543659,465.2903252,387.51754,117.3362679,1.323373849
64,1407076180,2014,8,3,15,467.2124812,387.7821159,117.4298372,1.243073534,469.0678399,386.9835495,117.846409,1.271348996
65,1407079779,2014,8,3,16,470.9540736,386.8605981,117.299573,1.319041969,469.1330462,386.4856536,117.5578631,1.348623734
66,1407083379,2014,8,3,17,470.610565,387.0099233,117.2375751,1.35142905,469.0133289,386.7872151,117.1839069,1.406029121
67,1407086979,2014,8,3,18,457.9464215,387.3211842,116.3560198,1.364134288,459.9214229,389.3530488,115.4490095,1.392977218
68,1407090579,2014,8,3,19,466.3786407,387.6093655,114.7299989,1.342842402,469.1440243,399.2151654,114.5761331,1.400252657
69,1407094180,2014,8,3,20,472.2332908,387.6538704,116.3501049,1.355198464,481.0726787,404.6242087,114.9196958,1.451267238
70,1407097780,2014,8,3,21,469.6229906,387.7724228,116.5892898,1.334713883,480.3522339,412.6524142,112.6099258,1.443548682
71,1407101380,2014,8,3,22,467.7984097,387.8003339,114.5871889,1.35335176,466.8759258,440.9708962,110.9401222,1.4426966
72,1407104979,2014,8,3,23,472.4099414,388.0477042,114.3684958,1.341261941,466.7789672,422.2711792,114.3781309,1.408082385
73,1407108579,2014,8,4,0,463.0909763,392.9294111,119.6594231,1.346894944,453.452054,425.2861773,116.6063998,1.414015962
74,1407112179,2014,8,4,1,471.497972,392.265553,120.5415783,1.377002109,472.3016129,428.2946131,121.6684442,1.436596444
75,1407115779,2014,8,4,2,471.9169345,397.4546925,120.7176285,1.354879162,453.0001554,440.0466462,118.1460511,1.430911705
76,1407119379,2014,8,4,3,461.9184734,405.1568387,123.3940246,1.382101844,450.8250599,441.0555818,118.5137014,1.501019425
77,1407122980,2014,8,4,4,468.4654781,411.1024833,121.2792961,1.456067249,467.1187383,426.0329796,120.5140938,1.546643013
78,1407126580,2014,8,4,5,465.2232947,393.2500642,120.7983732,1.383141215,470.59821,411.0766968,120.724967,1.562525889
79,1407130180,2014,8,4,6,510.8010888,396.6155106,132.4552647,1.460295433,506.14214,408.1029435,121.4511378,1.598824529
80,1407133780,2014,8,4,7,502.6626121,394.5858791,121.6205512,1.49227919,496.3370146,395.0325212,122.7886714,1.642563232
81,1407137379,2014,8,4,8,482.9310527,397.2789698,125.8674078,1.588892821,471.399665,399.6035284,131.6316999,1.644801266
82,1407140979,2014,8,4,9,470.6774697,421.4488823,132.8908649,1.70600574,463.314848,415.0264662,131.1326015,1.724003964
83,1407144579,2014,8,4,10,490.7667569,395.1878049,126.3164727,1.581040615,496.7692113,391.33879,123.9499533,1.560109069
84,1407148179,2014,8,4,11,489.097914,391.0312984,121.219358,1.600241397,482.9395993,390.2117212,118.4234331,1.628292793
85,1407151779,2014,8,4,12,516.9998397,389.9919257,113.0038783,1.558008771,507.9195385,389.1429523,111.9536121,1.541530282
86,1407155380,2014,8,4,13,482.329774,388.7147879,110.0177505,1.45387324,481.7149294,388.4788114,109.7990236,1.496589937
87,1407158980,2014,8,4,14,493.5093748,388.3412652,106.3349244,1.519452765,492.1484169,387.8948492,104.15354,1.539922521
88,1407162580,2014,8,4,15,488.7166845,388.2880164,102.7276529,1.492562947,484.9752443,388.1921065,103.5184617,1.494964079
89,1407166179,2014,8,4,16,486.1435197,388.4950205,102.8219167,1.483783128,486.7939925,388.1367486,104.1170637,1.507530575
90,1407169779,2014,8,4,17,487.1530758,389.108408,104.6450275,1.522744763,491.0992993,390.6118969,104.1282806,1.536300251
91,1407173379,2014,8,4,18,495.7216335,390.0265922,109.0582594,1.54672067,494.5639093,390.5341233,109.1489435,1.601427155
92,1407176979,2014,8,4,19,488.9045026,389.685834,110.6812892,1.542831774,486.8615054,397.3643293,110.9029086,1.565886862
93,1407180579,2014,8,4,20,489.1459215,391.2939637,110.9419841,1.556864232,468.8213588,412.6672339,109.8640087,1.501401402
94,1407184179,2014,8,4,21,486.8884968,393.1379235,109.8240874,1.489453254,479.5392324,425.2174401,106.8783092,1.443645554
95,1407187780,2014,8,4,22,487.1758388,392.8638986,111.0878044,1.512458617,479.0864459,401.3444502,106.6744467,1.616087322
96,1407191380,2014,8,4,23,444.6843666,386.8736255,105.5740836,1.742563701,427.5544347,390.2120433,105.0232644,1.617897238
97,1407194980,2014,8,5,0,492.838923,387.8759518,111.088609,1.480795545,492.2345943,390.7812478,112.2371051,1.492063546
98,1407198579,2014,8,5,1,480.7254991,387.4346703,110.2359779,1.404042151,481.6680237,392.1913783,109.2451118,1.441669749
99,1407202179,2014,8,5,2,485.7343938,387.6409132,105.6844524,1.392267835,487.3378457,391.1448,104.9372275,1.418170565
100,1407205779,2014,8,5,3,481.6098003,387.6658845,101.7805065,1.367910028,478.8813825,391.0980942,100.4447912,1.380469498
101,1407209379,2014,8,5,4,476.1183978,388.144425,98.49210141,1.318406131,474.7174784,390.8918024,98.23133979,1.35375137
102,1407212979,2014,8,5,5,478.2254434,387.5611874,99.17110115,1.293359316,477.060006,389.2874292,98.48849741,1.345205272
103,1407216580,2014,8,5,6,466.4498022,387.5317305,98.3444758,1.34135088,472.736122,386.6435493,98.09246347,1.351961663
104,1407220180,2014,8,5,7,475.9865186,387.0630051,97.4982359,1.289397332,483.4699894,386.4722288,96.84867042,1.332712155
105,1407223779,2014,8,5,8,486.35124,387.7831261,96.77427099,1.310348128,478.3090267,387.3896197,97.30361459,1.342860983
106,1407227379,2014,8,5,9,483.1845939,387.4585757,97.56080146,1.257500978,481.2558403,387.169463,97.59901851,1.273048337
107,1407230979,2014,8,5,10,486.5569246,387.2882524,97.25154272,1.257550601,485.5831769,387.1398339,97.12791002,1.293749425
108,1407234566,2014,8,5,11,478.437353,387.1706938,96.79150834,1.261652514,472.6440478,387.2245121,97.48805324,1.227454655
109,1407238180,2014,8,5,12,481.8766911,387.4447989,97.50692937,1.184023785,484.1963094,387.3907639,97.45537054,1.244592437
110,1407241780,2014,8,5,13,475.4404441,387.847902,94.94725291,1.283839679,470.6089102,387.8729181,95.11230774,1.314361297
111,1407245380,2014,8,5,14,469.5012117,388.0411554,95.65268115,1.251352793,477.2699536,387.909048,96.94033203,1.245562981
112,1407248979,2014,8,5,15,481.9762722,387.8361477,98.10681017,1.167930866,477.0135893,387.9078415,98.38401915,1.18774932
113,1407252579,2014,8,5,16,471.7491651,388.2260427,97.95253282,1.157582416,468.9154592,392.3337624,98.26444727,1.161971475
114,1407256179,2014,8,5,17,461.3066429,388.3965513,98.24296499,1.100868031,470.8765535,393.3172284,98.31305657,1.170265293
115,1407259779,2014,8,5,18,471.3092184,388.3673214,99.07247347,1.08670067,476.0043414,393.051856,102.5091859,1.168439425
116,1407263379,2014,8,5,19,471.4832327,388.4575806,99.13290616,1.08110162,464.5396689,404.6964913,109.6873132,1.201948556
117,1407266980,2014,8,5,20,467.242643,389.5741856,100.0134403,1.141752472,469.1566469,413.4996572,116.3614037,1.191143138
118,1407270580,2014,8,5,21,468.414176,393.4850527,97.62918022,1.08994324,457.1193038,422.0784406,110.9128366,1.217033923
119,1407274180,2014,8,5,22,498.9713176,390.3564077,113.8833931,1.06034095,470.2935548,431.7507973,117.6932759,1.188655711
120,1407277779,2014,8,5,23,482.8369401,396.4102025,115.7042131,1.087379427,494.5186212,425.367442,128.0370651,1.1494175
121,1407281379,2014,8,6,0,464.700074,410.2073131,126.244126,1.087734525,460.2138091,434.8408075,120.3066082,1.141986778
122,1407284979,2014,8,6,1,467.7436536,414.1294974,115.2284531,1.119098589,463.5947811,436.2968604,119.431819,1.163297971
123,1407288579,2014,8,6,2,483.4474292,411.6032366,105.4173151,1.112429721,463.3605984,429.1632459,107.6941292,1.160372762
124,1407292179,2014,8,6,3,470.707026,415.5747515,106.1777817,1.121584525,461.9535601,428.9587651,105.3060884,1.162072364
125,1407295779,2014,8,6,4,462.646157,419.2145316,107.6096123,1.155993464,447.531175,428.1851041,106.255956,1.203748745
126,1407299380,2014,8,6,5,445.8907382,418.7517455,112.0537881,1.204203589,436.1597271,418.120792,112.7585301,1.267014195
127,1407302980,2014,8,6,6,470.6096046,409.9422371,125.5787494,1.254281271,459.8317171,407.2801536,122.3209909,1.308050324
128,1407306580,2014,8,6,7,457.984398,404.1871825,122.0985246,1.270115545,456.4027208,397.9211915,122.2369997,1.307126506
129,1407310179,2014,8,6,8,474.0347024,392.5842984,124.0938191,1.27334838,474.9153455,388.4752299,124.1426142,1.310905743
130,1407313779,2014,8,6,9,480.098313,388.1452193,123.0493752,1.21539264,476.3095786,386.2395754,122.2007343,1.229538776
131,1407317379,2014,8,6,10,473.9592219,387.8611754,123.6815151,1.154450587,477.7073188,386.1264229,127.7933094,1.178402343
132,1407320979,2014,8,6,11,485.4803672,388.3551405,146.9157425,1.165202668,476.6544104,386.5109358,141.3915365,1.20469863
133,1407324579,2014,8,6,12,466.3684837,387.4611808,129.8446037,1.129962723,465.3149281,386.4010784,126.5667817,1.159409383
134,1407328180,2014,8,6,13,483.6211102,386.8009437,128.9814888,1.128042807,484.2367205,385.392387,129.2889501,1.181601224
135,1407331780,2014,8,6,14,483.7230933,386.0442145,135.622546,1.200539372,474.3936384,384.8290479,136.9532964,1.246712312
136,1407335380,2014,8,6,15,466.8186634,385.1961137,132.8889828,1.231575503,465.2487697,385.253607,130.0361426,1.273743013
137,1407338980,2014,8,6,16,453.1464425,387.4217244,124.0035818,1.339294274,453.1057626,387.406976,121.6818413,1.401978274
138,1407342579,2014,8,6,17,473.7823076,386.8096484,122.7216422,1.394800461,470.3861058,387.8663386,122.9378902,1.412946381
139,1407346179,2014,8,6,18,473.3386126,388.8025763,123.6595181,1.373433561,479.3276412,389.0303414,123.9009884,1.407191642
140,1407349779,2014,8,6,19,469.542996,387.2279069,122.5423857,1.467707779,478.8848379,388.5136546,123.1088353,1.491764623
141,1407353379,2014,8,6,20,478.9298647,389.0422321,123.5758566,1.503388631,482.7848585,390.734869,124.5653022,1.528748462
142,1407356979,2014,8,6,21,469.5191439,392.3632756,123.5837604,1.549349818,464.9536455,394.8485748,123.8539233,1.582655397
143,1407360580,2014,8,6,22,483.6455015,395.8821106,127.0304702,1.592577765,490.2108774,398.5115734,126.9679319,1.638944843
144,1407364180,2014,8,6,23,469.4313746,397.7620996,129.2814616,1.650025866,467.4687722,400.9083135,129.3333365,1.693696077
145,1407367780,2014,8,7,0,443.4214365,404.1290041,129.8013659,1.65837919,451.5422909,406.8055848,128.8771209,1.690653713
146,1407371379,2014,8,7,1,459.0994096,406.0685802,127.7590115,1.654014008,463.1617294,409.0496827,127.4320106,1.683571517
147,1407374979,2014,8,7,2,461.8005941,407.8678838,127.7700779,1.654104204,459.4579561,409.9576171,127.1378685,1.659716004
148,1407378579,2014,8,7,3,453.1970866,409.6367084,126.943528,1.620299344,452.8406966,413.5725687,126.1856919,1.63746819
149,1407382179,2014,8,7,4,464.8513438,412.0906399,126.7517698,1.606165196,460.4704187,415.0963204,126.5723806,1.642073609
150,1407385779,2014,8,7,5,452.1672038,414.2141814,127.0970225,1.627732402,457.064555,414.4104185,127.0651587,1.699105994
151,1407389380,2014,8,7,6,464.0549455,408.2419237,129.5901475,1.686582696,529.4418504,406.5709358,129.888005,1.738266234
152,1407392980,2014,8,7,7,617.4523739,402.6336142,133.5017041,1.692556606,524.462385,401.8647037,135.4266223,1.751055178
153,1407396580,2014,8,7,8,478.0419403,399.4712786,142.6903624,1.736124008,478.6810506,397.8332591,142.6786101,1.762720209
154,1407400179,2014,8,7,9,475.5378606,398.46717,143.543724,1.72031595,476.313973,395.6780847,142.7688307,1.711362238
155,1407403779,2014,8,7,10,492.852176,391.8464686,132.8277505,1.704799204,499.142978,391.300682,133.5154356,1.778116705
156,1407407379,2014,8,7,11,449.4612787,388.3677488,122.9268741,1.599622737,440.201435,386.8862314,121.3654439,1.709151308
157,1407410979,2014,8,7,12,468.3489741,387.5053962,116.5597888,1.650008198,471.1297052,386.252825,118.5972231,1.697864686
158,1407414579,2014,8,7,13,459.6675619,386.9469253,125.8998553,1.628972542,461.268183,387.0981693,126.1556071,1.746694079
159,1407418180,2014,8,7,14,469.8582035,387.3445639,121.0816878,1.693858939,470.0334699,386.8757944,120.33185,1.746520209
160,1407421780,2014,8,7,15,466.3050736,387.2342546,120.2711363,1.666957207,462.8555409,386.8291953,120.4105034,1.704505523
161,1407425380,2014,8,7,16,460.6525846,387.4882743,119.7372463,1.639057961,463.3586616,387.4060453,119.4682075,1.673090356
162,1407428980,2014,8,7,17,468.3130899,388.2092768,119.3878604,1.62535324,465.1170746,388.6776112,119.473257,1.654138504
163,1407432579,2014,8,7,18,446.7593178,389.0356783,120.6849217,1.591169469,448.8101006,391.1009246,121.7100562,1.618632385
164,1407436179,2014,8,7,19,451.4078922,389.2462294,124.6714569,1.567156369,454.4214603,393.9008953,124.9826291,1.590836161
165,1407439779,2014,8,7,20,457.9674986,388.73921,126.9900567,1.561381648,453.3514096,398.2157856,126.7999017,1.566532897
166,1407443379,2014,8,7,21,454.6877505,388.7387778,128.2746655,1.546883478,454.659463,403.8856008,126.9130356,1.545665439
167,1407446979,2014,8,7,22,455.0612669,388.962934,123.6956266,1.489115461,474.3758717,431.1703817,119.0111187,1.404982929
168,1407450580,2014,8,7,23,469.677327,389.5634439,119.4605534,1.341220209,473.6706219,439.9856698,114.6180251,1.35187773
169,1407454180,2014,8,8,0,441.5557703,389.5215855,116.7911985,1.311414455,512.0903619,468.8655429,115.3907511,1.350230209
170,1407457779,2014,8,8,1,462.9730868,389.8147955,113.7110625,1.286681983,420.4485484,482.952648,113.8166061,1.321666423
171,1407461379,2014,8,8,2,455.3022616,388.6840768,111.8364918,1.223604204,440.8197135,491.0992455,116.41786,1.258294916
172,1407464979,2014,8,8,3,462.5835182,389.3924394,110.1482619,1.174709944,421.8093672,495.1649644,118.4134034,1.197647814
173,1407468579,2014,8,8,4,454.5336134,388.5360818,110.3228977,1.167640377,421.390813,517.0217827,117.6274378,1.233040408
174,1407472179,2014,8,8,5,470.1134752,389.2665424,110.9696718,1.361169497,422.4081193,531.6126702,112.9777838,1.531142552
175,1407475780,2014,8,8,6,509.5234188,395.9315727,111.6950698,1.811638953,500.1066151,406.4657974,112.5149941,1.847880795
176,1407479380,2014,8,8,7,466.5755785,393.2667775,120.1313442,1.846723268,468.2822836,394.3601074,120.9295149,1.859185795
177,1407482980,2014,8,8,8,460.8484647,395.7045909,123.3249513,1.84686324,460.2907789,396.5500225,123.9093052,1.529888797
178,1407486580,2014,8,8,9,467.4851504,392.0611525,120.2271169,1.616796299,465.385861,392.5238224,120.1285057,1.585818776
179,1407490179,2014,8,8,10,465.9408907,395.158318,122.2452789,1.616985782,468.9430358,396.7180164,123.8577544,1.661435941
180,1407493779,2014,8,8,11,461.5635484,397.2312664,126.7366576,1.630603198,462.7670212,393.5465943,128.0156248,1.624592134
181,1407497379,2014,8,8,12,441.3375591,389.9212717,127.5757108,1.517969763,448.3537933,391.1653703,127.9658864,1.560561904
182,1407500979,2014,8,8,13,482.295396,388.8598793,118.2961779,1.608443352,474.7848541,389.9776168,117.5204226,1.655823933
183,1407504579,2014,8,8,14,472.7088927,387.4097749,117.9946201,1.719654721,474.9857648,385.9586596,127.5539398,1.734137824
184,1407508179,2014,8,8,15,456.6769846,383.5010762,150.278977,1.538291494,455.7911216,383.006232,147.89598,1.589278253
185,1407511780,2014,8,8,16,469.921195,383.0555515,139.7650244,1.565075615,459.3463772,384.7909482,138.8817839,1.634576234
186,1407515380,2014,8,8,17,460.8565216,382.3963203,138.3447494,1.608566453,457.8154922,384.2374825,137.0946975,1.662094059
187,1407518980,2014,8,8,18,466.5815681,384.3618361,136.6831466,1.618389455,470.291179,387.4391246,136.7768378,1.673594864
188,1407522579,2014,8,8,19,466.5073591,388.9100591,141.1292987,1.637025251,475.4239144,393.3977574,144.6825248,1.710945377
189,1407526179,2014,8,8,20,464.5089197,393.8669634,153.2045996,1.71407331,471.2089072,398.0829803,152.21642,1.805425282
190,1407529779,2014,8,8,21,485.0184844,399.6609183,155.804177,1.768078324,481.6948358,404.1474256,154.1108783,1.828354027
191,1407533379,2014,8,8,22,477.7247334,400.6753416,154.0160646,1.780619874,481.4473602,404.2063027,151.7109765,1.810948556
192,1407536979,2014,8,8,23,509.8863359,402.0901656,146.083394,1.757706285,518.7447237,403.9456133,144.5624282,1.801762929
193,1407540580,2014,8,9,0,506.2121362,401.1238685,138.89991,1.761110964,520.1225041,401.1964928,138.0042387,1.792752824
194,1407544180,2014,8,9,1,533.8306984,399.302694,141.715181,1.755113296,537.2421854,402.4016989,143.5975161,1.779879498
195,1407547780,2014,8,9,2,520.1248642,402.6040371,145.4260023,1.781969036,515.9974204,404.9230511,144.1022524,1.8224909
196,1407551380,2014,8,9,3,517.3175069,406.3541677,142.0358763,1.852214036,516.2393436,408.5102281,142.1934729,1.894395136
197,1407554979,2014,8,9,4,513.5663978,411.575991,147.9350114,1.862066508,511.7167365,415.0245349,151.2630391,1.914263389
198,1407558579,2014,8,9,5,502.9196821,414.8621928,147.3326322,1.865409316,500.9853664,414.2283176,141.3113253,1.94430431
199,1407562179,2014,8,9,6,508.9671872,408.2351771,116.903327,1.869763031,512.4624689,405.5860727,113.0446329,1.957076893
200,1407565779,2014,8,9,7,483.1244433,392.3561809,125.0514398,1.86623419,480.8022904,389.7280693,130.4669524,1.890864738
201,1407569379,2014,8,9,8,485.9368784,386.5105965,134.7115141,1.594006522,490.7761986,385.7789983,134.3814746,1.572940157
202,1407572980,2014,8,9,9,460.6695861,386.3045837,132.811109,1.451779302,460.1103509,386.1619577,133.4789835,1.595925397
203,1407576580,2014,8,9,10,452.7100345,386.5532807,134.202803,1.429206425,451.876814,386.7862934,133.9894524,1.449151496
204,1407580180,2014,8,9,11,462.2473661,387.3809715,130.4455399,1.295419455,473.3250764,386.6605956,128.7179089,1.356585732
205,1407583779,2014,8,9,12,466.3603067,387.130542,128.0060304,1.25521898,467.3204555,386.8775381,128.0361934,1.332089268
206,1407587379,2014,8,9,13,442.5845758,386.7968462,127.1439513,1.299472626,447.2877119,385.824803,126.6402661,1.320363818
207,1407590979,2014,8,9,14,457.4813714,385.4558321,123.4658695,1.199723603,454.5483474,385.7772892,124.2370385,1.279202437
208,1407594579,2014,8,9,15,458.1559555,386.7169213,127.544363,1.254835866,456.5302803,386.9615463,128.0372367,1.30381501
209,1407598179,2014,8,9,16,455.2929937,387.709349,129.0054766,1.295609777,452.4510538,387.5809532,128.3758454,1.32914591
210,1407601780,2014,8,9,17,453.0200786,387.0837152,129.2919874,1.218372346,456.4911393,387.2341422,129.3892023,1.263118211
211,1407605380,2014,8,9,18,449.0526021,387.4033372,128.9563993,1.200328911,456.4626111,388.9114883,128.09997,1.26992319
212,1407608980,2014,8,9,19,455.7228758,388.182608,130.1968044,1.201819721,464.4769893,399.0318062,128.30365,1.288374916
213,1407612579,2014,8,9,20,466.5885631,391.6138199,134.821024,1.239677961,459.0011015,406.9341915,148.4434749,1.312660774
214,1407616179,2014,8,9,21,462.5955558,396.7860441,137.0170346,1.259389441,469.243359,423.0311708,142.3200095,1.324885272
215,1407619779,2014,8,9,22,462.6305095,394.9597846,131.8736191,1.228705349,451.4860039,425.386005,142.1162128,1.359297218
216,1407623379,2014,8,9,23,449.0432515,394.0793191,119.7237836,1.190449637,437.2093457,424.0022517,144.3629246,1.332582092
217,1407626979,2014,8,10,0,456.5082971,389.8990335,113.6348615,1.188667737,438.7340453,436.6189111,156.9843474,1.289637061
218,1407630580,2014,8,10,1,467.2990527,394.4161649,116.069595,1.213742598,444.1990452,431.8974057,143.5683464,1.312621789
219,1407634180,2014,8,10,2,470.4428939,389.1871143,117.7180978,1.215796285,453.5577113,436.2545964,140.0485423,1.315124812
220,1407637780,2014,8,10,3,455.9805874,415.6982484,146.0206671,1.282921704,445.9533603,439.9840274,144.177388,1.34524045
221,1407641380,2014,8,10,4,464.1166524,436.9493704,152.3103243,1.410119232,450.1744264,451.5616955,152.1015639,1.440574718
222,1407644980,2014,8,10,5,472.8274507,435.5151806,163.1743749,1.412395349,457.2423601,443.6164863,162.7467256,1.481466056
